,H,V,C,h,a,b
141,2.5YR,7.0,2.0,45.0,1.41421,1.41421
142,2.5YR,6.0,2.0,45.0,1.41421,1.41421
143,2.5YR,5.0,2.0,45.0,1.41421,1.41421
144,2.5YR,4.0,2.0,45.0,1.41421,1.41421
145,2.5YR,3.0,2.0,45.0,1.41421,1.41421
146,2.5YR,2.5,2.0,45.0,1.41421,1.41421
147,2.5YR,8.0,4.0,45.0,2.82843,2.82843
148,2.5YR,7.0,4.0,45.0,2.82843,2.82843
149,2.5YR,6.0,4.0,45.0,2.82843,2.82843
150,2.5YR,5.0,4.0,45.0,2.82843,2.82843
151,2.5YR,4.0,4.0,45.0,2.82843,2.82843
152,2.5YR,8.0,6.0,45.0,4.24264,4.24264
153,2.5YR,7.0,6.0,45.0,4.24264,4.24264
154,2.5YR,6.0,6.0,45.0,4.24264,4.24264
155,2.5YR,5.0,6.0,45.0,4.24264,4.24264
156,2.5YR,4.0,6.0,45.0,4.24264,4.24264
157,2.5YR,8.0,8.0,45.0,5.65685,5.65685
158,2.5YR,7.0,8.0,45.0,5.65685,5.65685
159,2.5YR,6.0,8.0,45.0,5.65685,5.65685
160,2.5YR,5.0,8.0,45.0,5.65685,5.65685
161,2.5YR,4.0,8.0,45.0,5.65685,5.65685
162,2.5YR,7.0,10.0,45.0,7.07107,7.07107
163,2.5YR,6.0,10.0,45.0,7.07107,7.07107
164,2.5YR,5.0,10.0,45.0,7.07107,7.07107
165,2.5YR,7.0,12.0,45.0,8.48528,8.48528
166,2.5YR,6.0,12.0,45.0,8.48528,8.48528
167,2.5YR,6.0,14.0,45.0,9.89949,9.89949
168,5YR,9.0,1.0,54.0,0.58779,0.80902
169,5YR,8.0,1.0,54.0,0.58779,0.80902
170,5YR,7.0,1.0,54.0,0.58779,0.80902
171,5YR,6.0,1.0,54.0,0.58779,0.80902
172,5YR,5.0,1.0,54.0,0.58779,0.80902
173,5YR,4.0,1.0,54.0,0.58779,0.80902
174,5YR,3.0,1.0,54.0,0.58779,0.80902
175,5YR,2.5,1.0,54.0,0.58779,0.80902
176,5YR,9.0,2.0,54.0,1.17557,1.61803
177,5YR,8.0,2.0,54.0,1.17557,1.61803
178,5YR,7.0,2.0,54.0,1.17557,1.61803
179,5YR,6.0,2.0,54.0,1.17557,1.61803
180,5YR,5.0,2.0,54.0,1.17557,1.61803
181,5YR,4.0,2.0,54.0,1.17557,1.61803
182,5YR,3.0,2.0,54.0,1.17557,1.61803
183,5YR,9.0,4.0,54.0,2.35114,3.23607
184,5YR,8.0,4.0,54.0,2.35114,3.23607
185,5YR,7.0,4.0,54.0,2.35114,3.23607
186,5YR,6.0,4.0,54.0,2.35114,3.23607
187,5YR,5.0,4.0,54.0,2.35114,3.23607
188,5YR,4.0,4.0,54.0,2.35114,3.23607
189,5YR,8.0,6.0,54.0,3.52671,4.8541
190,5YR,7.0,6.0,54.0,3.52671,4.8541
191,5YR,6.0,6.0,54.0,3.52671,4.8541
192,5YR,5.0,6.0,54.0,3.52671,4.8541
193,5YR,4.0,6.0,54.0,3.52671,4.8541
194,5YR,8.0,8.0,54.0,4.70228,6.47214
195,5YR,7.0,8.0,54.0,4.70228,6.47214
196,5YR,6.0,8.0,54.0,4.70228,6.47214
197,5YR,5.0,8.0,54.0,4.70228,6.47214
198,5YR,7.0,10.0,54.0,5.87785,8.09017
199,5YR,6.0,10.0,54.0,5.87785,8.09017
200,5YR,7.0,12.0,54.0,7.05342,9.7082
201,5YR,6.0,12.0,54.0,7.05342,9.7082
202,7.5YR,9.0,2.0,63.0,0.90798,1.78201
203,7.5YR,8.0,2.0,63.0,0.90798,1.78201
204,7.5YR,7.0,2.0,63.0,0.90798,1.78201
205,7.5YR,6.0,2.0,63.0,0.90798,1.78201
206,7.5YR,5.0,2.0,63.0,0.90798,1.78201
207,7.5YR,4.0,2.0,63.0,0.90798,1.78201
208,7.5YR,3.0,2.0,63.0,0.90798,1.78201
209,7.5YR,9.0,4.0,63.0,1.81596,3.56403
210,7.5YR,8.0,4.0,63.0,1.81596,3.56403
211,7.5YR,7.0,4.0,63.0,1.81596,3.56403
212,7.5YR,6.0,4.0,63.0,1.81596,3.56403
213,7.5YR,5.0,4.0,63.0,1.81596,3.56403
214,7.5YR,4.0,4.0,63.0,1.81596,3.56403
215,7.5YR,8.0,6.0,63.0,2.72394,5.34604
216,7.5YR,7.0,6.0,63.0,2.72394,5.34604
217,7.5YR,6.0,6.0,63.0,2.72394,5.34604
218,7.5YR,5.0,6.0,63.0,2.72394,5.34604
219,7.5YR,4.0,6.0,63.0,2.72394,5.34604
220,7.5YR,8.0,8.0,63.0,3.63192,7.12805
221,7.5YR,7.0,8.0,63.0,3.63192,7.12805
222,7.5YR,6.0,8.0,63.0,3.63192,7.12805
223,7.5YR,5.0,8.0,63.0,3.63192,7.12805
224,7.5YR,8.0,10.0,63.0,4.5399,8.91007
225,7.5YR,7.0,10.0,63.0,4.5399,8.91007
226,7.5YR,6.0,10.0,63.0,4.5399,8.91007
227,7.5YR,7.0,12.0,63.0,5.44789,10.69208
228,10YR,9.0,1.0,72.0,0.30902,0.95106
229,10YR,8.0,1.0,72.0,0.30902,0.95106
230,10YR,7.0,1.0,72.0,0.30902,0.95106
231,10YR,6.0,1.0,72.0,0.30902,0.95106
232,10YR,5.0,1.0,72.0,0.30902,0.95106
233,10YR,4.0,1.0,72.0,0.30902,0.95106
234,10YR,3.0,1.0,72.0,0.30902,0.95106
235,10YR,2.5,1.0,72.0,0.30902,0.95106
236,10YR,9.0,2.0,72.0,0.61803,1.90211
237,10YR,8.0,2.0,72.0,0.61803,1.90211
238,10YR,7.0,2.0,72.0,0.61803,1.90211
239,10YR,6.0,2.0,72.0,0.61803,1.90211
240,10YR,5.0,2.0,72.0,0.61803,1.90211
241,10YR,4.0,2.0,72.0,0.61803,1.90211
242,10YR,3.0,2.0,72.0,0.61803,1.90211
243,10YR,9.0,4.0,72.0,1.23607,3.80423
244,10YR,8.0,4.0,72.0,1.23607,3.80423
245,10YR,7.0,4.0,72.0,1.23607,3.80423
246,10YR,6.0,4.0,72.0,1.23607,3.80423
247,10YR,5.0,4.0,72.0,1.23607,3.80423
248,10YR,4.0,4.0,72.0,1.23607,3.80423
249,10YR,8.0,6.0,72.0,1.8541,5.70634
250,10YR,7.0,6.0,72.0,1.8541,5.70634
251,10YR,6.0,6.0,72.0,1.8541,5.70634
252,10YR,5.0,6.0,72.0,1.8541,5.70634
253,10YR,8.0,8.0,72.0,2.47214,7.60845
254,10YR,7.0,8.0,72.0,2.47214,7.60845
255,10YR,6.0,8.0,72.0,2.47214,7.60845
256,10YR,5.0,8.0,72.0,2.47214,7.60845
257,10YR,8.0,10.0,72.0,3.09017,9.51057
258,10YR,7.0,10.0,72.0,3.09017,9.51057
259,10YR,6.0,10.0,72.0,3.09017,9.51057
260,10YR,7.0,12.0,72.0,3.7082,11.41268
261,2.5Y,9.0,2.0,81.0,0.31287,1.97538
262,2.5Y,8.5,2.0,81.0,0.31287,1.97538
263,2.5Y,8.0,2.0,81.0,0.31287,1.97538
264,2.5Y,7.0,2.0,81.0,0.31287,1.97538
265,2.5Y,6.0,2.0,81.0,0.31287,1.97538
266,2.5Y,5.0,2.0,81.0,0.31287,1.97538
267,2.5Y,4.0,2.0,81.0,0.31287,1.97538
268,2.5Y,3.0,2.0,81.0,0.31287,1.97538
269,2.5Y,9.0,4.0,81.0,0.62574,3.95075
270,2.5Y,8.5,4.0,81.0,0.62574,3.95075
271,2.5Y,8.0,4.0,81.0,0.62574,3.95075
272,2.5Y,7.0,4.0,81.0,0.62574,3.95075
273,2.5Y,6.0,4.0,81.0,0.62574,3.95075
274,2.5Y,5.0,4.0,81.0,0.62574,3.95075
275,2.5Y,4.0,4.0,81.0,0.62574,3.95075
276,2.5Y,9.0,6.0,81.0,0.93861,5.92613
277,2.5Y,8.5,6.0,81.0,0.93861,5.92613
278,2.5Y,8.0,6.0,81.0,0.93861,5.92613
279,2.5Y,7.0,6.0,81.0,0.93861,5.92613
280,2.5Y,6.0,6.0,81.0,0.93861,5.92613
281,2.5Y,5.0,6.0,81.0,0.93861,5.92613
282,2.5Y,8.5,8.0,81.0,1.25148,7.90151
283,2.5Y,8.0,8.0,81.0,1.25148,7.90151
284,2.5Y,7.0,8.0,81.0,1.25148,7.90151
285,2.5Y,6.0,8.0,81.0,1.25148,7.90151
286,2.5Y,8.5,10.0,81.0,1.56434,9.87688
287,2.5Y,8.0,10.0,81.0,1.56434,9.87688
288,2.5Y,7.0,10.0,81.0,1.56434,9.87688
289,2.5Y,8.0,12.0,81.0,1.87721,11.85226
290,2.5Y,7.0,12.0,81.0,1.87721,11.85226
291,5Y,9.0,1.0,90.0,0.0,1.0
292,5Y,8.5,1.0,90.0,0.0,1.0
293,5Y,8.0,1.0,90.0,0.0,1.0
294,5Y,7.0,1.0,90.0,0.0,1.0
295,5Y,6.0,1.0,90.0,0.0,1.0
296,5Y,5.0,1.0,90.0,0.0,1.0
297,5Y,4.0,1.0,90.0,0.0,1.0
298,5Y,3.0,1.0,90.0,0.0,1.0
299,5Y,2.5,1.0,90.0,0.0,1.0
300,5Y,9.0,2.0,90.0,0.0,2.0
301,5Y,8.5,2.0,90.0,0.0,2.0
302,5Y,8.0,2.0,90.0,0.0,2.0
303,5Y,7.0,2.0,90.0,0.0,2.0
304,5Y,6.0,2.0,90.0,0.0,2.0
305,5Y,5.0,2.0,90.0,0.0,2.0
306,5Y,4.0,2.0,90.0,0.0,2.0
307,5Y,3.0,2.0,90.0,0.0,2.0
308,5Y,9.0,4.0,90.0,0.0,4.0
309,5Y,8.5,4.0,90.0,0.0,4.0
310,5Y,8.0,4.0,90.0,0.0,4.0
311,5Y,7.0,4.0,90.0,0.0,4.0
312,5Y,6.0,4.0,90.0,0.0,4.0
313,5Y,5.0,4.0,90.0,0.0,4.0
314,5Y,4.0,4.0,90.0,0.0,4.0
315,5Y,9.0,6.0,90.0,0.0,6.0
316,5Y,8.5,6.0,90.0,0.0,6.0
317,5Y,8.0,6.0,90.0,0.0,6.0
318,5Y,7.0,6.0,90.0,0.0,6.0
319,5Y,6.0,6.0,90.0,0.0,6.0
320,5Y,5.0,6.0,90.0,0.0,6.0
321,5Y,9.0,8.0,90.0,0.0,8.0
322,5Y,8.5,8.0,90.0,0.0,8.0
323,5Y,8.0,8.0,90.0,0.0,8.0
324,5Y,7.0,8.0,90.0,0.0,8.0
325,5Y,6.0,8.0,90.0,0.0,8.0
326,5Y,8.5,10.0,90.0,0.0,10.0
327,5Y,8.0,10.0,90.0,0.0,10.0
328,5Y,7.0,10.0,90.0,0.0,10.0
329,5Y,8.5,12.0,90.0,0.0,12.0
330,5Y,8.0,12.0,90.0,0.0,12.0
331,5Y,7.0,12.0,90.0,0.0,12.0
332,7.5Y,9.0,2.0,99.0,-0.31287,1.97538
333,7.5Y,8.5,2.0,99.0,-0.31287,1.97538
334,7.5Y,8.0,2.0,99.0,-0.31287,1.97538
335,7.5Y,7.0,2.0,99.0,-0.31287,1.97538
336,7.5Y,6.0,2.0,99.0,-0.31287,1.97538
337,7.5Y,5.0,2.0,99.0,-0.31287,1.97538
338,7.5Y,4.0,2.0,99.0,-0.31287,1.97538
339,7.5Y,3.0,2.0,99.0,-0.31287,1.97538
340,7.5Y,9.0,4.0,99.0,-0.62574,3.95075
341,7.5Y,8.5,4.0,99.0,-0.62574,3.95075
342,7.5Y,8.0,4.0,99.0,-0.62574,3.95075
343,7.5Y,7.0,4.0,99.0,-0.62574,3.95075
344,7.5Y,6.0,4.0,99.0,-0.62574,3.95075
345,7.5Y,5.0,4.0,99.0,-0.62574,3.95075
346,7.5Y,4.0,4.0,99.0,-0.62574,3.95075
347,7.5Y,9.0,6.0,99.0,-0.93861,5.92613
348,7.5Y,8.5,6.0,99.0,-0.93861,5.92613
349,7.5Y,8.0,6.0,99.0,-0.93861,5.92613
350,7.5Y,7.0,6.0,99.0,-0.93861,5.92613
351,7.5Y,6.0,6.0,99.0,-0.93861,5.92613
352,7.5Y,5.0,6.0,99.0,-0.93861,5.92613
353,7.5Y,9.0,8.0,99.0,-1.25148,7.90151
354,7.5Y,8.5,8.0,99.0,-1.25148,7.90151
355,7.5Y,8.0,8.0,99.0,-1.25148,7.90151
356,7.5Y,7.0,8.0,99.0,-1.25148,7.90151
357,7.5Y,6.0,8.0,99.0,-1.25148,7.90151
358,7.5Y,9.0,10.0,99.0,-1.56434,9.87688
359,7.5Y,8.5,10.0,99.0,-1.56434,9.87688
360,7.5Y,8.0,10.0,99.0,-1.56434,9.87688
361,7.5Y,7.0,10.0,99.0,-1.56434,9.87688
362,7.5Y,8.5,12.0,99.0,-1.87721,11.85226
363,7.5Y,8.0,12.0,99.0,-1.87721,11.85226
364,10Y,9.0,1.0,108.0,-0.30902,0.95106
365,10Y,8.5,1.0,108.0,-0.30902,0.95106
366,10Y,8.0,1.0,108.0,-0.30902,0.95106
367,10Y,7.0,1.0,108.0,-0.30902,0.95106
368,10Y,6.0,1.0,108.0,-0.30902,0.95106
369,10Y,5.0,1.0,108.0,-0.30902,0.95106
370,10Y,4.0,1.0,108.0,-0.30902,0.95106
371,10Y,3.0,1.0,108.0,-0.30902,0.95106
372,10Y,2.5,1.0,108.0,-0.30902,0.95106
373,10Y,9.0,2.0,108.0,-0.61803,1.90211
374,10Y,8.5,2.0,108.0,-0.61803,1.90211
375,10Y,8.0,2.0,108.0,-0.61803,1.90211
376,10Y,7.0,2.0,108.0,-0.61803,1.90211
377,10Y,6.0,2.0,108.0,-0.61803,1.90211
378,10Y,5.0,2.0,108.0,-0.61803,1.90211
379,10Y,4.0,2.0,108.0,-0.61803,1.90211
380,10Y,3.0,2.0,108.0,-0.61803,1.90211
381,10Y,9.0,4.0,108.0,-1.23607,3.80423
382,10Y,8.5,4.0,108.0,-1.23607,3.80423
383,10Y,8.0,4.0,108.0,-1.23607,3.80423
384,10Y,7.0,4.0,108.0,-1.23607,3.80423
385,10Y,6.0,4.0,108.0,-1.23607,3.80423
386,10Y,5.0,4.0,108.0,-1.23607,3.80423
387,10Y,4.0,4.0,108.0,-1.23607,3.80423
388,10Y,9.0,6.0,108.0,-1.8541,5.70634
389,10Y,8.5,6.0,108.0,-1.8541,5.70634
390,10Y,8.0,6.0,108.0,-1.8541,5.70634
391,10Y,7.0,6.0,108.0,-1.8541,5.70634
392,10Y,6.0,6.0,108.0,-1.8541,5.70634
393,10Y,5.0,6.0,108.0,-1.8541,5.70634
394,10Y,9.0,8.0,108.0,-2.47214,7.60845
395,10Y,8.5,8.0,108.0,-2.47214,7.60845
396,10Y,8.0,8.0,108.0,-2.47214,7.60845
397,10Y,7.0,8.0,108.0,-2.47214,7.60845
398,10Y,6.0,8.0,108.0,-2.47214,7.60845
399,10Y,9.0,10.0,108.0,-3.09017,9.51057
400,10Y,8.5,10.0,108.0,-3.09017,9.51057
401,10Y,8.0,10.0,108.0,-3.09017,9.51057
402,10Y,7.0,10.0,108.0,-3.09017,9.51057
403,10Y,8.0,12.0,108.0,-3.7082,11.41268
404,2.5GY,9.0,2.0,117.0,-0.90798,1.78201
405,2.5GY,8.5,2.0,117.0,-0.90798,1.78201
406,2.5GY,8.0,2.0,117.0,-0.90798,1.78201
407,2.5GY,7.0,2.0,117.0,-0.90798,1.78201
408,2.5GY,6.0,2.0,117.0,-0.90798,1.78201
409,2.5GY,5.0,2.0,117.0,-0.90798,1.78201
410,2.5GY,4.0,2.0,117.0,-0.90798,1.78201
411,2.5GY,3.0,2.0,117.0,-0.90798,1.78201
412,2.5GY,9.0,4.0,117.0,-1.81596,3.56403
413,2.5GY,8.5,4.0,117.0,-1.81596,3.56403
414,2.5GY,8.0,4.0,117.0,-1.81596,3.56403
415,2.5GY,7.0,4.0,117.0,-1.81596,3.56403
416,2.5GY,6.0,4.0,117.0,-1.81596,3.56403
417,2.5GY,5.0,4.0,117.0,-1.81596,3.56403
418,2.5GY,4.0,4.0,117.0,-1.81596,3.56403
419,2.5GY,9.0,6.0,117.0,-2.72394,5.34604
420,2.5GY,8.5,6.0,117.0,-2.72394,5.34604
421,2.5GY,8.0,6.0,117.0,-2.72394,5.34604
422,2.5GY,7.0,6.0,117.0,-2.72394,5.34604
423,2.5GY,6.0,6.0,117.0,-2.72394,5.34604
424,2.5GY,5.0,6.0,117.0,-2.72394,5.34604
425,2.5GY,9.0,8.0,117.0,-3.63192,7.12805
426,2.5GY,8.5,8.0,117.0,-3.63192,7.12805
427,2.5GY,8.0,8.0,117.0,-3.63192,7.12805
428,2.5GY,7.0,8.0,117.0,-3.63192,7.12805
429,2.5GY,6.0,8.0,117.0,-3.63192,7.12805
430,2.5GY,8.5,10.0,117.0,-4.5399,8.91007
431,2.5GY,8.0,10.0,117.0,-4.5399,8.91007
432,2.5GY,7.0,10.0,117.0,-4.5399,8.91007
433,5GY,9.0,1.0,126.0,-0.58779,0.80902
434,5GY,8.5,1.0,126.0,-0.58779,0.80902
435,5GY,8.0,1.0,126.0,-0.58779,0.80902
436,5GY,7.0,1.0,126.0,-0.58779,0.80902
437,5GY,6.0,1.0,126.0,-0.58779,0.80902
438,5GY,5.0,1.0,126.0,-0.58779,0.80902
439,5GY,4.0,1.0,126.0,-0.58779,0.80902
440,5GY,3.0,1.0,126.0,-0.58779,0.80902
441,5GY,2.5,1.0,126.0,-0.58779,0.80902
442,5GY,9.0,2.0,126.0,-1.17557,1.61803
443,5GY,8.5,2.0,126.0,-1.17557,1.61803
444,5GY,8.0,2.0,126.0,-1.17557,1.61803
445,5GY,7.0,2.0,126.0,-1.17557,1.61803
446,5GY,6.0,2.0,126.0,-1.17557,1.61803
447,5GY,5.0,2.0,126.0,-1.17557,1.61803
448,5GY,4.0,2.0,126.0,-1.17557,1.61803
449,5GY,3.0,2.0,126.0,-1.17557,1.61803
450,5GY,9.0,4.0,126.0,-2.35114,3.23607
451,5GY,8.5,4.0,126.0,-2.35114,3.23607
452,5GY,8.0,4.0,126.0,-2.35114,3.23607
453,5GY,7.0,4.0,126.0,-2.35114,3.23607
454,5GY,6.0,4.0,126.0,-2.35114,3.23607
455,5GY,5.0,4.0,126.0,-2.35114,3.23607
456,5GY,4.0,4.0,126.0,-2.35114,3.23607
457,5GY,9.0,6.0,126.0,-3.52671,4.8541
458,5GY,8.5,6.0,126.0,-3.52671,4.8541
459,5GY,8.0,6.0,126.0,-3.52671,4.8541
460,5GY,7.0,6.0,126.0,-3.52671,4.8541
461,5GY,6.0,6.0,126.0,-3.52671,4.8541
462,5GY,5.0,6.0,126.0,-3.52671,4.8541
463,5GY,8.5,8.0,126.0,-4.70228,6.47214
464,5GY,8.0,8.0,126.0,-4.70228,6.47214
465,5GY,7.0,8.0,126.0,-4.70228,6.47214
466,5GY,6.0,8.0,126.0,-4.70228,6.47214
467,5GY,5.0,8.0,126.0,-4.70228,6.47214
468,5GY,8.5,10.0,126.0,-5.87785,8.09017
469,5GY,8.0,10.0,126.0,-5.87785,8.09017
470,7.5GY,9.0,2.0,135.0,-1.41421,1.41421
471,7.5GY,8.5,2.0,135.0,-1.41421,1.41421
472,7.5GY,8.0,2.0,135.0,-1.41421,1.41421
473,7.5GY,7.0,2.0,135.0,-1.41421,1.41421
474,7.5GY,6.0,2.0,135.0,-1.41421,1.41421
475,7.5GY,5.0,2.0,135.0,-1.41421,1.41421
476,7.5GY,4.0,2.0,135.0,-1.41421,1.41421
477,7.5GY,3.0,2.0,135.0,-1.41421,1.41421
478,7.5GY,9.0,4.0,135.0,-2.82843,2.82843
479,7.5GY,8.5,4.0,135.0,-2.82843,2.82843
480,7.5GY,8.0,4.0,135.0,-2.82843,2.82843
481,7.5GY,7.0,4.0,135.0,-2.82843,2.82843
482,7.5GY,6.0,4.0,135.0,-2.82843,2.82843
483,7.5GY,5.0,4.0,135.0,-2.82843,2.82843
484,7.5GY,4.0,4.0,135.0,-2.82843,2.82843
