360,0.116,0.053,0.058,0.057,0.143,0.079,0.15,0.075,0.069,0.042,0.074,0.189,0.071,0.036
365,0.136,0.055,0.059,0.059,0.187,0.081,0.177,0.078,0.072,0.043,0.079,0.175,0.076,0.036
370,0.159,0.059,0.061,0.062,0.233,0.089,0.218,0.084,0.073,0.045,0.086,0.158,0.082,0.036
375,0.19,0.064,0.063,0.067,0.269,0.113,0.293,0.09,0.07,0.047,0.098,0.139,0.09,0.036
380,0.219,0.07,0.065,0.074,0.295,0.151,0.378,0.104,0.066,0.05,0.111,0.12,0.104,0.036
385,0.239,0.079,0.068,0.083,0.306,0.203,0.459,0.129,0.062,0.054,0.121,0.103,0.127,0.036
390,0.252,0.089,0.07,0.093,0.31,0.265,0.524,0.17,0.058,0.059,0.127,0.09,0.161,0.037
395,0.256,0.101,0.072,0.105,0.312,0.339,0.546,0.24,0.055,0.063,0.129,0.082,0.211,0.038
400,0.256,0.111,0.073,0.116,0.313,0.41,0.551,0.319,0.052,0.066,0.127,0.076,0.264,0.039
405,0.254,0.116,0.073,0.121,0.315,0.464,0.555,0.416,0.052,0.067,0.121,0.068,0.313,0.039
410,0.252,0.118,0.074,0.124,0.319,0.492,0.559,0.462,0.051,0.068,0.116,0.064,0.341,0.04
415,0.248,0.12,0.074,0.126,0.322,0.508,0.56,0.482,0.05,0.069,0.112,0.065,0.352,0.041
420,0.244,0.121,0.074,0.128,0.326,0.517,0.561,0.49,0.05,0.069,0.108,0.075,0.359,0.042
425,0.24,0.122,0.073,0.131,0.33,0.524,0.558,0.488,0.049,0.07,0.105,0.093,0.361,0.042
430,0.237,0.122,0.073,0.135,0.334,0.531,0.556,0.482,0.048,0.072,0.104,0.123,0.364,0.043
435,0.232,0.122,0.073,0.139,0.339,0.538,0.551,0.473,0.047,0.073,0.104,0.16,0.365,0.044
440,0.23,0.123,0.073,0.144,0.346,0.544,0.544,0.462,0.046,0.076,0.105,0.207,0.367,0.044
445,0.226,0.124,0.073,0.151,0.352,0.551,0.535,0.45,0.044,0.078,0.106,0.256,0.369,0.045
450,0.225,0.127,0.074,0.161,0.36,0.556,0.522,0.439,0.042,0.083,0.11,0.3,0.372,0.045
455,0.222,0.128,0.075,0.172,0.369,0.556,0.506,0.426,0.041,0.088,0.115,0.331,0.374,0.046
460,0.22,0.131,0.077,0.186,0.381,0.554,0.488,0.413,0.038,0.095,0.123,0.346,0.376,0.047
465,0.218,0.134,0.08,0.205,0.394,0.549,0.469,0.397,0.035,0.103,0.134,0.347,0.379,0.048
470,0.216,0.138,0.085,0.229,0.403,0.541,0.448,0.382,0.033,0.113,0.148,0.341,0.384,0.05
475,0.214,0.143,0.094,0.254,0.41,0.531,0.429,0.366,0.031,0.125,0.167,0.328,0.389,0.052
480,0.214,0.15,0.109,0.281,0.415,0.519,0.408,0.352,0.03,0.142,0.192,0.307,0.397,0.055
485,0.214,0.159,0.126,0.308,0.418,0.504,0.385,0.337,0.029,0.162,0.219,0.282,0.405,0.057
490,0.216,0.174,0.148,0.332,0.419,0.488,0.363,0.325,0.028,0.189,0.252,0.257,0.416,0.062
495,0.218,0.19,0.172,0.352,0.417,0.469,0.341,0.31,0.028,0.219,0.291,0.23,0.429,0.067
500,0.223,0.207,0.198,0.37,0.413,0.45,0.324,0.299,0.028,0.262,0.325,0.204,0.443,0.075
505,0.225,0.225,0.221,0.383,0.409,0.431,0.311,0.289,0.029,0.305,0.347,0.178,0.454,0.083
510,0.226,0.242,0.241,0.39,0.403,0.414,0.301,0.283,0.03,0.365,0.356,0.154,0.461,0.092
515,0.226,0.253,0.26,0.394,0.396,0.395,0.291,0.276,0.03,0.416,0.353,0.129,0.466,0.1
520,0.225,0.26,0.278,0.395,0.389,0.377,0.283,0.27,0.031,0.465,0.346,0.109,0.469,0.108
525,0.225,0.264,0.302,0.392,0.381,0.358,0.273,0.262,0.031,0.509,0.333,0.09,0.471,0.121
530,0.227,0.267,0.339,0.385,0.372,0.341,0.265,0.256,0.032,0.546,0.314,0.075,0.474,0.133
535,0.23,0.269,0.37,0.377,0.363,0.325,0.26,0.251,0.032,0.581,0.294,0.062,0.476,0.142
540,0.236,0.272,0.392,0.367,0.353,0.309,0.257,0.25,0.033,0.61,0.271,0.051,0.483,0.15
545,0.245,0.276,0.399,0.354,0.342,0.293,0.257,0.251,0.034,0.634,0.248,0.041,0.49,0.154
550,0.253,0.282,0.4,0.341,0.331,0.279,0.259,0.254,0.035,0.653,0.227,0.035,0.506,0.155
555,0.262,0.289,0.393,0.327,0.32,0.265,0.26,0.258,0.037,0.666,0.206,0.029,0.526,0.152
560,0.272,0.299,0.38,0.312,0.308,0.253,0.26,0.264,0.041,0.678,0.188,0.025,0.553,0.147
565,0.283,0.309,0.365,0.296,0.296,0.241,0.258,0.269,0.044,0.687,0.17,0.022,0.582,0.14
570,0.298,0.322,0.349,0.28,0.284,0.234,0.256,0.272,0.048,0.693,0.153,0.019,0.618,0.133
575,0.318,0.329,0.332,0.263,0.271,0.227,0.254,0.274,0.052,0.698,0.138,0.017,0.651,0.125
580,0.341,0.335,0.315,0.247,0.26,0.225,0.254,0.278,0.06,0.701,0.125,0.017,0.68,0.118
585,0.367,0.339,0.299,0.229,0.247,0.222,0.259,0.284,0.076,0.704,0.114,0.017,0.701,0.112
590,0.39,0.341,0.285,0.214,0.232,0.221,0.27,0.295,0.102,0.705,0.106,0.016,0.717,0.106
595,0.409,0.341,0.272,0.198,0.22,0.22,0.284,0.316,0.136,0.705,0.1,0.016,0.729,0.101
600,0.424,0.342,0.264,0.185,0.21,0.22,0.302,0.348,0.19,0.706,0.096,0.016,0.736,0.098
605,0.435,0.342,0.257,0.175,0.2,0.22,0.324,0.384,0.256,0.707,0.092,0.016,0.742,0.095
610,0.442,0.342,0.252,0.169,0.194,0.22,0.344,0.434,0.336,0.707,0.09,0.016,0.745,0.093
615,0.448,0.341,0.247,0.164,0.189,0.22,0.362,0.482,0.418,0.707,0.087,0.016,0.747,0.09
620,0.45,0.341,0.241,0.16,0.185,0.223,0.377,0.528,0.505,0.708,0.085,0.016,0.748,0.089
625,0.451,0.339,0.235,0.156,0.183,0.227,0.389,0.568,0.581,0.708,0.082,0.016,0.748,0.087
630,0.451,0.339,0.229,0.154,0.18,0.233,0.4,0.604,0.641,0.71,0.08,0.018,0.748,0.086
635,0.451,0.338,0.224,0.152,0.177,0.239,0.41,0.629,0.682,0.711,0.079,0.018,0.748,0.085
640,0.451,0.338,0.22,0.151,0.176,0.244,0.42,0.648,0.717,0.712,0.078,0.018,0.748,0.084
645,0.451,0.337,0.217,0.149,0.175,0.251,0.429,0.663,0.74,0.714,0.078,0.018,0.748,0.084
650,0.45,0.336,0.216,0.148,0.175,0.258,0.438,0.676,0.758,0.716,0.078,0.019,0.748,0.084
