wl, 	phot. 2° obs, 	scot., Vlam/macula, Scone/macula, Melanopsin*lens
488,	1.91270E-01,	8.8400E-01,	5.0550E-01,	3.1790E-01,	9.9515609785E-01
490,	2.08020E-01,	9.0400E-01,	5.4530E-01,	2.7680E-01,	9.8918221554E-01
492,	2.26730E-01,	9.2300E-01,	5.8170E-01,	2.4890E-01,	9.8055056877E-01
494,	2.47480E-01,	9.4100E-01,	6.2170E-01,	2.2220E-01,	9.6864584567E-01
496,	2.70180E-01,	9.5700E-01,	6.5470E-01,	1.9350E-01,	9.5425428420E-01
498,	2.95050E-01,	9.7000E-01,	6.8050E-01,	1.6440E-01,	9.3714749622E-01
500,	3.23000E-01,	9.8200E-01,	7.1070E-01,	1.3800E-01,	9.1738094372E-01
502,	3.54690E-01,	9.9000E-01,	7.3050E-01,	1.1830E-01,	8.9508497132E-01
504,	3.89290E-01,	9.9700E-01,	7.5360E-01,	1.0100E-01,	8.7068475414E-01
506,	4.25630E-01,	1.0000E+00,	7.7350E-01,	8.5300E-02,	8.4403618705E-01
508,	4.63390E-01,	1.0000E+00,	7.8990E-01,	7.1000E-02,	8.1571098037E-01
510,	5.03000E-01,	9.9700E-01,	8.0740E-01,	5.8400E-02,	7.8560144028E-01
512,	5.44510E-01,	9.9000E-01,	8.2590E-01,	4.9600E-02,	7.5276141314E-01
514,	5.86970E-01,	9.8100E-01,	8.4390E-01,	4.1800E-02,	7.1884290768E-01
516,	6.29350E-01,	9.6800E-01,	8.5690E-01,	3.4600E-02,	6.8439886354E-01
518,	6.70880E-01,	9.5300E-01,	8.6460E-01,	2.8000E-02,	6.5011356504E-01
520,	7.10000E-01,	9.3500E-01,	8.6850E-01,	2.2100E-02,	6.1444692744E-01
522,	7.45460E-01,	9.1500E-01,	8.8820E-01,	1.9500E-02,	5.7956150762E-01
524,	7.77840E-01,	8.9200E-01,	9.0330E-01,	1.7100E-02,	5.4524278793E-01
526,	8.08110E-01,	8.6700E-01,	9.1460E-01,	1.4800E-02,	5.1079715373E-01
528,	8.36310E-01,	8.4000E-01,	9.2230E-01,	1.2600E-02,	4.7683148659E-01
530,	8.62000E-01,	8.1100E-01,	9.2690E-01,	1.0500E-02,	4.4392214699E-01
532,	8.84960E-01,	7.8100E-01,	9.4150E-01,	9.3000E-03,	4.1236409542E-01
534,	9.05440E-01,	7.4900E-01,	9.5310E-01,	8.2000E-03,	3.8145727699E-01
536,	9.23730E-01,	7.1700E-01,	9.6210E-01,	7.0000E-03,	3.5189756644E-01
538,	9.39920E-01,	6.8300E-01,	9.6860E-01,	5.9000E-03,	3.2359897071E-01
540,	9.54000E-01,	6.5000E-01,	9.7290E-01,	4.8000E-03,	2.9655966973E-01
542,	9.66010E-01,	6.1600E-01,	9.8150E-01,	4.3000E-03,	2.7094327932E-01
544,	9.76020E-01,	5.8100E-01,	9.8800E-01,	3.7000E-03,	2.4677175027E-01
546,	9.84090E-01,	5.4800E-01,	9.9250E-01,	3.2000E-03,	2.2403306214E-01
548,	9.90310E-01,	5.1400E-01,	9.9510E-01,	2.6000E-03,	2.0271627454E-01
550,	9.94950E-01,	4.8100E-01,	9.9610E-01,	2.1000E-03,	1.8289771018E-01
552,	9.98100E-01,	4.4800E-01,	9.9880E-01,	1.8000E-03,	1.6447171532E-01
554,	9.99750E-01,	4.1700E-01,	1.0000E+00,	1.6000E-03,	1.4743269976E-01
556,	9.99860E-01,	3.8640E-01,	9.9960E-01,	1.4000E-03,	1.3179067384E-01
558,	9.98330E-01,	3.5690E-01,	9.9770E-01,	1.1000E-03,	1.1744560402E-01
560,	9.95000E-01,	3.2880E-01,	9.9390E-01,	9.0000E-04,	1.0434700849E-01
562,	9.89740E-01,	3.0180E-01,	9.8730E-01,	8.0000E-04,	9.2428406906E-02
564,	9.82720E-01,	2.7620E-01,	9.7890E-01,	8.0000E-04,	8.1630251139E-02
566,	9.74080E-01,	2.5190E-01,	9.6900E-01,	7.0000E-04,	7.1907433590E-02
568,	9.63860E-01,	2.2910E-01,	9.5750E-01,	6.0000E-04,	6.3172589154E-02
570,	9.52000E-01,	2.0760E-01,	9.4440E-01,	6.0000E-04,	5.5374098995E-02
572,	9.38500E-01,	1.8760E-01,	9.3060E-01,	5.0000E-04,	4.8438613508E-02
574,	9.23460E-01,	1.6900E-01,	9.1520E-01,	5.0000E-04,	4.2292669081E-02
576,	9.07010E-01,	1.5170E-01,	8.9850E-01,	4.0000E-04,	3.6846539526E-02
578,	8.89200E-01,	1.3580E-01,	8.8050E-01,	4.0000E-04,	3.2025686193E-02
580,	8.70000E-01,	1.2120E-01,	8.6110E-01,	3.0000E-04,	2.7789445637E-02
582,	8.49390E-01,	1.0780E-01,	8.3910E-01,	3.0000E-04,	2.4052213816E-02
584,	8.27580E-01,	9.5600E-02,	8.1610E-01,	3.0000E-04,	2.0778272460E-02
586,	8.04790E-01,	8.4500E-02,	7.9210E-01,	3.0000E-04,	1.7922991983E-02
588,	7.81190E-01,	7.4500E-02,	7.6750E-01,	3.0000E-04,	1.5434336536E-02
590,	7.57000E-01,	6.5500E-02,	7.4230E-01,	3.0000E-04,	1.3273324734E-02
592,	7.32420E-01,	5.7400E-02,	7.1820E-01,	3.0000E-04,	1.1389348777E-02
594,	7.07500E-01,	5.0200E-02,	6.9380E-01,	3.0000E-04,	9.7595841556E-03
596,	6.82220E-01,	4.3800E-02,	6.6900E-01,	3.0000E-04,	8.3527785578E-03
598,	6.56670E-01,	3.8200E-02,	6.4400E-01,	3.0000E-04,	7.1471977114E-03
600,	6.31000E-01,	3.3150E-02,	6.1880E-01,	3.0000E-04,	6.1151075309E-03
602,	6.05310E-01,	2.8740E-02,	5.9360E-01,	2.0000E-04,	5.2244469768E-03
604,	5.79640E-01,	2.4870E-02,	5.6840E-01,	2.0000E-04,	4.4595416921E-03
606,	5.53960E-01,	2.1470E-02,	5.4320E-01,	1.0000E-04,	3.8046610177E-03
608,	5.28350E-01,	1.8510E-02,	5.1810E-01,	1.0000E-04,	3.2454271425E-03
610,	5.03000E-01,	1.5930E-02,	4.9330E-01,	0.0000E+00,	2.7676721631E-03
612,	4.78030E-01,	1.3690E-02,	4.6880E-01,	0.0000E+00,	2.3595662590E-03
614,	4.53400E-01,	1.1750E-02,	4.4460E-01,	0.0000E+00,	2.0119609051E-03
616,	4.29080E-01,	1.0070E-02,	4.2080E-01,	0.0000E+00,	1.7158964830E-03
618,	4.05030E-01,	8.6200E-03,	3.9720E-01,	0.0000E+00,	1.4642522395E-03
620,	3.81000E-01,	7.3700E-03,	3.7360E-01,	0.0000E+00,	1.2505893459E-03
622,	3.56830E-01,	6.3000E-03,	3.4990E-01,	0.0000E+00,	1.0674805383E-03
624,	3.32820E-01,	5.3800E-03,	3.2640E-01,	0.0000E+00,	9.1154289624E-04
626,	3.09340E-01,	4.5900E-03,	3.0330E-01,	0.0000E+00,	7.7928427576E-04
628,	2.86590E-01,	3.9130E-03,	2.8100E-01,	0.0000E+00,	6.6691983233E-04
630,	2.65000E-01,	3.3350E-03,	2.5990E-01,	0.0000E+00,	5.7137247658E-04
632,	2.44890E-01,	2.8420E-03,	2.4010E-01,	0.0000E+00,	4.9000525479E-04
634,	2.26050E-01,	2.4210E-03,	2.2170E-01,	0.0000E+00,	4.2042691197E-04
636,	2.08160E-01,	2.0620E-03,	2.0410E-01,	0.0000E+00,	3.6107294253E-04
638,	1.91160E-01,	1.7570E-03,	1.8750E-01,	0.0000E+00,	3.1055589716E-04
640,	1.75000E-01,	1.4970E-03,	1.7160E-01,	0.0000E+00,	2.6750514713E-04
642,	1.59650E-01,	1.2760E-03,	1.5660E-01,	0.0000E+00,	2.3039077809E-04
644,	1.45130E-01,	1.0880E-03,	1.4230E-01,	0.0000E+00,	1.9862545915E-04
646,	1.31500E-01,	9.2800E-04,	1.2900E-01,	0.0000E+00,	1.7141683215E-04
648,	1.18780E-01,	7.9200E-04,	1.1650E-01,	0.0000E+00,	1.4799899988E-04
650,	1.07000E-01,	6.7700E-04,	1.0490E-01,	0.0000E+00,	1.2794650722E-04
652,	9.61890E-02,	5.7900E-04,	9.4300E-02,	0.0000E+00,	1.1069208400E-04
654,	8.62650E-02,	4.9600E-04,	8.4600E-02,	0.0000E+00,	9.5831470850E-05
656,	7.71210E-02,	4.2500E-04,	7.5600E-02,	0.0000E+00,	8.3042480330E-05
658,	6.87100E-02,	3.6450E-04,	6.7400E-02,	0.0000E+00,	7.2007000129E-05
660,	6.10000E-02,	3.1290E-04,	5.9800E-02,	0.0000E+00,	6.2524688127E-05
662,	5.39550E-02,	2.6890E-04,	5.2900E-02,	0.0000E+00,	5.4261759463E-05
664,	4.75500E-02,	2.3130E-04,	4.6600E-02,	0.0000E+00,	4.7135278188E-05
666,	4.17590E-02,	1.9910E-04,	4.1000E-02,	0.0000E+00,	4.1001139180E-05
668,	3.65640E-02,	1.7160E-04,	3.5900E-02,	0.0000E+00,	3.5682648161E-05
670,	3.20000E-02,	1.4800E-04,	3.1400E-02,	0.0000E+00,	3.1070767255E-05
672,	2.80770E-02,	1.2770E-04,	2.7500E-02,	0.0000E+00,	2.7081805487E-05
674,	2.47080E-02,	1.1040E-04,	2.4200E-02,	0.0000E+00,	2.3620434470E-05
676,	2.18010E-02,	9.5400E-05,	2.1400E-02,	0.0000E+00,	2.0618218771E-05
678,	1.92810E-02,	8.2600E-05,	1.8900E-02,	0.0000E+00,	1.8017165330E-05
680,	1.70000E-02,	7.1500E-05,	1.6700E-02,	0.0000E+00,	1.5747868679E-05
682,	1.48370E-02,	6.2000E-05,	1.4500E-02,	0.0000E+00,	1.3777250643E-05
684,	1.28350E-02,	5.3800E-05,	1.2600E-02,	0.0000E+00,	1.2066297836E-05
686,	1.10680E-02,	4.6700E-05,	1.0900E-02,	0.0000E+00,	1.0569532641E-05
688,	9.53330E-03,	4.0600E-05,	9.3000E-03,	0.0000E+00,	9.2684207000E-06
690,	8.21000E-03,	3.5330E-05,	8.1000E-03,	0.0000E+00,	8.1349338160E-06
692,	7.08540E-03,	3.0750E-05,	6.9000E-03,	0.0000E+00,	7.1400590580E-06
694,	6.13850E-03,	2.6790E-05,	6.0000E-03,	0.0000E+00,	6.2770173850E-06
696,	5.34310E-03,	2.3360E-05,	5.2000E-03,	0.0000E+00,	5.5207498070E-06
698,	4.67640E-03,	2.0380E-05,	4.6000E-03,	0.0000E+00,	4.8559397800E-06
700,	4.10200E-03,	1.7800E-05,	4.0000E-03,	0.0000E+00,	4.2779496380E-06
702,	3.58910E-03,	1.5560E-05,	3.5000E-03,	0.0000E+00,	3.7702045930E-06
704,	3.13410E-03,	1.3600E-05,	3.1000E-03,	0.0000E+00,	3.3245236540E-06
706,	2.73810E-03,	1.1910E-05,	2.7000E-03,	0.0000E+00,	2.9331395440E-06
708,	2.39320E-03,	1.0430E-05,	2.3000E-03,	0.0000E+00,	0.0000000000E+00
710,	2.09100E-03,	9.1400E-06,	2.1000E-03,	0.0000E+00,	0.0000000000E+00
712,	1.82460E-03,	8.0200E-06,	1.8000E-03,	0.0000E+00,	0.0000000000E+00
714,	1.59020E-03,	7.0400E-06,	1.6000E-03,	0.0000E+00,	0.0000000000E+00
716,	1.38450E-03,	6.1800E-06,	1.4000E-03,	0.0000E+00,	0.0000000000E+00
718,	1.20410E-03,	5.4400E-06,	1.2000E-03,	0.0000E+00,	0.0000000000E+00
720,	1.04700E-03,	4.7800E-06,	1.0000E-03,	0.0000E+00,	0.0000000000E+00
722,	9.11110E-04,	4.2100E-06,	9.0000E-04,	0.0000E+00,	0.0000000000E+00
724,	7.93240E-04,	3.7090E-06,	8.0000E-04,	0.0000E+00,	0.0000000000E+00
726,	6.90080E-04,	3.2700E-06,	7.0000E-04,	0.0000E+00,	0.0000000000E+00
728,	5.99500E-04,	2.8840E-06,	6.0000E-04,	0.0000E+00,	0.0000000000E+00
730,	5.20000E-04,	2.5460E-06,	5.0000E-04,	0.0000E+00,	0.0000000000E+00
732,	4.50050E-04,	2.2500E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
734,	3.88720E-04,	1.9890E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
736,	3.35380E-04,	1.7590E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
738,	2.89170E-04,	1.5570E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
740,	2.49200E-04,	1.3790E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
742,	2.14690E-04,	1.2230E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
744,	1.85050E-04,	1.0840E-06,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
746,	1.59780E-04,	9.6200E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
748,	1.38300E-04,	8.5500E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
750,	1.20000E-04,	7.6000E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
752,	1.04320E-04,	6.7500E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
754,	9.08460E-05,	6.0100E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
756,	7.91470E-05,	5.3500E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
758,	6.89160E-05,	4.7700E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
760,	6.00000E-05,	4.2500E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
762,	5.22260E-05,	3.7900E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
764,	4.54470E-05,	3.3820E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
766,	3.95610E-05,	3.0210E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
768,	3.44490E-05,	2.6990E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
770,	3.00000E-05,	2.4130E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
772,	2.61140E-05,	2.1590E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
774,	2.27250E-05,	1.9320E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
776,	1.97790E-05,	1.7310E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
778,	1.72170E-05,	1.5510E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
780,	1.49900E-05,	1.3900E-07,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
781,	0.00000E+00,	0.0000E+00,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
5000, 	0.00000E+00,	0.0000E+00,	0.0000E+00,	0.0000E+00,	0.0000000000E+00

